FavouritesCount,FriendsCount,StatusesCount,isVerified,isTranslator,location,Lang,isRetweetedByMe
5779,432,2967,false,false,Buxton Water Factory,en,false
1430,28,595,false,false,null,en,false
38947,1688,113981,false,false,South Side- SATX.,en,false
81224,1856,28575,false,false,Sverige,sv,false
218,37,163,false,false,null,en,false
3516,1063,1473,false,false,null,en,false
17265,2892,19916,false,false,Cardiff- ???????,en,false
13311,392,16073,false,false,null,nl,false
2116,737,1456,false,false,null,en,false
3092,1318,44420,false,false,London- England,en,false
1184,651,1027,false,false,null,en,false
43123,1877,10540,false,false,GAYsville?,en,false
26411,280,19438,false,false,LM10 | AM11 | RL9 | CR7 |,hr,false
2806,1630,7236,false,false,Cape Cod- MA,en,false
85560,3837,67602,false,false,Durham/Newcastle,en,false
46,694,4599,false,false,null,es,false
29734,2542,234923,false,false,Lagos City.,en,false
85561,3837,67603,false,false,Durham/Newcastle,en,false
41,146,201,false,false,Berlin,de,false
1451,215,2942,false,false,USA,en,false
13695,632,5508,false,false,Gibraltar ,en,false
9959,791,1673,false,false,Neelay | Brandon | Ryan | Rynn,en,false
30,9,28,false,false,null,en,false
3688,294,1444,false,false,Eden Prairie- MN,en,false
15,56,35,false,false,null,en,false
80,99,240,false,false,Manchester- England,en,false
13026,980,3587,false,false,Croydon- London,en,false
98,92,70,false,false,Denver- CO,en,false
11705,16819,57369,false,false,Manahawkin- New Jersey,en,false
2200,360,2136,false,false,Dublin,en,false
74966,803,48244,false,false,Small Town??SA-Town,en,false
227,93,2416,false,false,Waterbury,en,false
19,439,60072,false,false,null,tr,false
2544,468,5098,false,false,null,en,false
829,2064,1431,false,false,null,en,false
50168,4992,51381,false,false,null,en,false
652,142,1526,false,false,null,en,false
239,456,1762,false,false,null,en,false
250,260,58,false,false,null,en,false
305,448,1828,false,false,currently based in London,en,false
599,210,259,false,false,Kyiv,en,false
2930,1805,2933,false,false,Earth,en,false
55,386,68741,false,false,Huesca- Espa?a,es,false
17,245,39268,false,false,Tottenham- London,en-gb,false
45194,1909,40700,false,false,Somewhere- not here.,en,false
820,930,3616,false,false,Northern Ireland- United Kingdom,en,false
30246,366,33357,false,false,San Francisco- CA,en,false
1958,1779,39897,false,false,Romans 12.12 street- Vision Av,en,false
1646,1517,2570,false,false,England- United Kingdom,en,false
56381,4308,68042,false,false,null,en,false
220587,8030,212018,false,false,Modesto- CA,en,false
2554,898,23174,false,false,Cape town- South Africa-,en,false
31872,270,28352,false,false,Santa Monica- CA,en,false
2711,2449,98015,false,false,Irving- TX,en,false
19586,268,3809,false,false,Barcelona- Spain,en,false
7709,260,32475,false,false,null,en,false
6671,177,649,false,false,null,en,false
18136,129,9166,false,false,Broken Arrow- OK,en,false
602,39,271,false,false,null,en,false
2242,2409,3086,false,false,Romford- London,en,false
29,4,11,false,false,South Africa,en,false
789,122,1481,false,false,Brooklyn- NY,en,false
565,208,1072,false,false,null,en,false
4973,2163,22915,false,false,London,en,false
3603,2668,16648,false,false,Virginia Beach,en,false
141,69,5066,false,false,null,en,false
7709,260,32476,false,false,null,en,false
58970,1804,39688,false,false,null,en,false
2764,535,3596,false,false,ig// lewisaaron__,en,false
2435,291,14787,false,false,Cape Town- South Africa,en,false
15915,1728,42591,false,false,null,en,false
232,198,167,false,false,null,en,false
690,149,895,false,false,Northern- NJ,en,false
4973,2163,22915,false,false,London,en,false
3422,4248,33741,false,false,eveywhere,en,false
32,75,362,false,false,Manchester- England,en,false
1,99,567,false,false,null,en,false
1387,63,4744,false,false,null,en,false
3720,4921,19363,false,false,Bergen- Norway,en,false
20870,1024,5175,false,false,null,en,false
6671,177,650,false,false,null,en,false
1731,315,8470,false,false,london,en,false
4787,55,9407,false,false,Adderbury- Banbury- England ,en,false
462,2903,379,false,false,Illinois,en,false
1799,1626,14229,false,false,Midlands- Uk,en,false
25795,943,93130,false,false,Strasbourg ,fr,false
33814,3837,122888,false,false,null,en,false
8877,1167,15395,false,false,United States,en,false
764,776,1179,false,false,Formby- Liverpool,en,false
550,0,670,false,false,null,en,false
0,17,1,false,false,null,en,false
38426,3304,18786,false,false,Trondheim- Norway,en,false
2920,636,7236,false,false,Northway- Gloucestershire ,en,false
36182,620,99099,false,false,null,en,false
3190,426,9456,false,false,Paris / Libreville / W.D.C,fr,false
140342,161,275740,false,false,Paris- France,fr,false
1755,957,118118,false,false,Toronto- Ontario,en,false
3003,3193,84940,false,false,null,en,false
4791,55,9408,false,false,Adderbury- Banbury- England ,en,false
1590,1514,8489,false,false,null,el,false
48661,412,29583,false,false,null,en,false
1800,1626,14231,false,false,Midlands- Uk,en,false
7179,3393,3895,false,false,null,en-gb,false
207,414,7764,false,false,London,en,false
416,639,5161,false,false,Birmingham,en,false
20692,200,2832,false,false,null,en,false
11734,209,31195,false,false,Wigan- England,en-gb,false
834,2341,5831,false,false,Essex. united  kingdom,en,false
2188,680,3072,false,false,North West- England,en,false
829,2064,1432,false,false,null,en,false
32804,569,73800,false,false,Pretoria- South Africa,en,false
54,32,1886,false,false,Wales- United Kingdom,en,false
13064,203,6154,false,false,null,en-GB,false
931,57,491,false,false,Florida- USA,en,false
119,117,114,false,false,Lagos- Nigeria,en,false
0,2286,42674,false,false,London- England,en,false
3981,412,2557,false,false,los angeles,el,false
54,32,1887,false,false,Wales- United Kingdom,en,false
15,63,6034,false,false,null,en,false
3168,293,39650,false,false,null,fr,false
16809,737,16069,false,false,Marshe ,en,false
144643,5287,52616,false,false,Tema- Ghana,en,false
1316,638,2124,false,false,null,en,false
